Date,DailyVisits,BounceRate,AvgSessionDuration,TrafficSource
2024-01-01,5234,0.45,180,Organic
2024-01-02,6891,0.38,210,Referral
2024-01-03,4128,0.62,120,Social
2024-01-04,7512,0.32,240,Paid
2024-01-05,3987,0.58,150,Organic
2024-01-06,5621,0.41,190,Referral
2024-01-07,2876,0.71,90,Social
2024-01-08,8239,0.28,270,Paid
2024-01-09,4592,0.53,165,Organic
2024-01-10,6147,0.35,225,Referral
2024-01-11,3354,0.68,105,Social
2024-01-12,9125,0.23,290,Paid
2024-01-13,4870,0.49,175,Organic
2024-01-14,5932,0.39,215,Referral
2024-01-15,2981,0.70,95,Social
2024-01-16,7894,0.30,255,Paid
2024-01-17,4219,0.56,160,Organic
2024-01-18,6358,0.36,230,Referral
2024-01-19,3145,0.65,110,Social
2024-01-20,8562,0.25,280,Paid
2024-01-21,4723,0.51,170,Organic
2024-01-22,6018,0.37,220,Referral
2024-01-23,3497,0.67,100,Social
2024-01-24,9310,0.22,295,Paid
2024-01-25,5012,0.48,185,Organic
2024-01-26,6245,0.34,235,Referral
2024-01-27,3629,0.64,115,Social
2024-01-28,9047,0.24,285,Paid
2024-01-29,5138,0.46,195,Organic
2024-01-30,6471,0.33,245,Referral
2024-01-31,3752,0.63,125,Social
